"Store.no","Item.no","NS.ar","NS.diff","NS.ma","S.ar","S.diff","S.ma","AIC.value","SSE.value"
8,18,1,0,1,1,1,1,-2057.63611120216,20.055205415925
8,19,1,0,2,1,1,1,-1086.37804822789,39.2691396931468
8,20,1,0,1,1,1,2,-1343.23513837986,32.8000351522435
8,21,2,0,1,1,1,1,-1048.55111805729,40.3966354685681
8,22,1,0,1,1,1,1,-2035.25359917174,20.45855315441
8,23,1,0,1,2,1,1,-617.896587482124,54.2319800709703
8,24,1,0,1,2,1,1,-1698.21280499953,25.8228184758333
8,25,1,0,1,1,1,1,-2139.25241303459,19.0870123083327
8,26,1,0,1,1,1,1,-1224.87407801545,35.5619694632473
8,27,1,0,1,1,1,1,-213.872914647041,71.2883265468517
8,28,1,0,1,2,1,1,-2210.77853900248,18.1505140449035
8,29,1,0,1,1,1,1,-1798.35474049785,23.9815407610198
8,30,1,0,1,1,1,2,-1067.69974347746,39.8793145714613
8,31,1,0,1,1,1,1,-1611.72226644492,27.2417471820288
8,32,1,0,2,1,1,1,-1166.01605236633,37.3069185800791
8,33,1,0,2,1,1,1,-1941.20292266301,21.8616816153171
8,34,1,0,1,1,1,1,-441.981589823717,60.9237889805109
8,35,1,0,1,2,1,1,-1747.29246170447,25.012284194166
8,36,1,0,1,1,1,1,-1973.10524337075,21.2554239411936
8,37,1,0,1,1,1,1,-551.615010714117,56.8838793752544
8,38,1,0,1,2,1,1,-2074.83409023443,19.814450832166
8,39,2,0,1,1,1,1,-1220.10250982736,35.9015345739637
8,40,1,0,2,1,1,1,-671.50594973622,52.0258891858959
8,41,2,0,1,1,1,1,-173.441847935082,73.2081779718688
8,42,1,0,1,1,1,2,-935.317337013858,43.6236914890302
8,43,1,0,1,1,1,1,-1460.03364340785,30.3065839085241
8,44,1,0,1,2,1,1,-763.957996551891,48.8195034762246
8,45,1,0,1,1,1,1,-1930.71536084882,22.0307660671803
8,46,1,0,1,1,1,1,-1665.59668948959,26.3913436168688
8,47,1,0,1,1,1,1,-273.183578505134,68.3876733995482
8,48,1,0,1,1,1,1,-1434.71918579675,30.7616644478323
8,49,1,0,1,1,1,1,-591.764879174826,55.055711359701
8,50,1,0,1,1,1,1,-1730.98863480388,25.1155191035046
9,1,1,0,1,1,1,1,94.9488302963523,88.8215642847642
9,2,1,0,1,1,1,1,-1341.66507771334,33.0011486979524
9,3,1,0,1,1,1,1,-620.070664601655,54.3424398801307
9,4,1,0,1,1,1,1,47.0815952368971,85.3275043616119
9,5,1,0,1,2,1,1,370.947949259865,106.664439159848
9,6,1,0,1,1,1,1,-1297.92585709548,33.8154245190786
9,7,1,0,1,1,1,1,-1411.17847022321,31.2975268814383
9,8,1,0,1,1,1,1,-1797.02881174161,24.1123442282803
9,9,1,0,1,1,1,1,-1193.86707239385,36.3156454280673
9,10,1,0,1,1,1,1,-1681.95162670327,25.9631804635227
9,11,1,0,1,1,1,1,-1565.5381083753,28.1387849861954
9,12,1,0,2,1,1,1,-1654.72972944818,26.4291225507753
9,13,1,0,1,1,1,1,-1863.72638519685,22.9324429585431
